epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7657,1.94256,3.21924,1.79012,0.00366,0.82359,0.46345,0.25354,1.55111,3.4082,1.47409,0.00013336,0.00013336,0.00013336
2,47.9443,1.5469,2.44191,1.56036,0.00374,0.87622,0.42179,0.18564,1.63218,3.36737,1.52417,0.000277779,0.000277779,0.000277779
3,72.5612,1.53067,1.80795,1.50033,0.00403,0.92105,0.49617,0.2549,1.52869,3.30136,1.43638,0.000416257,0.000416257,0.000416257
4,95.6789,1.44347,1.76497,1.45446,0.79467,0.44932,0.50375,0.22256,1.59928,3.27877,1.58256,0.000548793,0.000548793,0.000548793
5,119.631,1.48731,1.6226,1.52684,1,0.28332,0.60296,0.32404,1.55708,3.10232,1.48375,0.000675388,0.000675388,0.000675388
6,143.048,1.53304,1.59372,1.49597,0.84873,0.43557,0.5975,0.31096,1.66877,2.80191,1.48,0.000796043,0.000796043,0.000796043
7,166.286,1.47122,1.51212,1.44681,0.55428,0.53257,0.53484,0.29529,1.73826,2.69856,1.50992,0.000910755,0.000910755,0.000910755
8,190.918,1.47596,1.5171,1.45187,0.29131,0.54678,0.29948,0.12288,1.7791,3.06506,1.60398,0.00101953,0.00101953,0.00101953
9,214.405,1.4854,1.55743,1.50655,0.31281,0.4308,0.21285,0.09926,2.0767,3.79973,2.07444,0.00112236,0.00112236,0.00112236
10,237.49,1.4986,1.57915,1.48934,0.66943,0.35431,0.36316,0.16955,2.07823,3.0731,1.99318,0.00121925,0.00121925,0.00121925
11,265.996,1.46984,1.54923,1.47198,0.82885,0.41729,0.55945,0.20463,2.16769,2.28083,2.09104,0.0013102,0.0013102,0.0013102
12,315.383,1.42829,1.4841,1.4396,0.86516,0.52443,0.61898,0.27369,1.90017,2.05478,1.73264,0.00130393,0.00130393,0.00130393
13,352.202,1.43054,1.33606,1.41052,0.20892,0.54094,0.24941,0.11663,2.09916,2.84676,1.99632,0.00127092,0.00127092,0.00127092
14,379.045,1.45061,1.37653,1.43371,0.45185,0.3616,0.2855,0.13656,1.92057,3.47716,1.77025,0.00123791,0.00123791,0.00123791
15,402.678,1.36321,1.33273,1.38786,0.52436,0.4607,0.53145,0.24696,1.79156,2.70202,1.69143,0.00120491,0.00120491,0.00120491
16,425.768,1.42516,1.26744,1.4192,0.38309,0.49047,0.43829,0.1902,2.05664,4.59779,2.02042,0.0011719,0.0011719,0.0011719
17,449.325,1.44916,1.30251,1.44098,0.63731,0.48377,0.64,0.33672,1.81234,3.28116,1.72302,0.00113889,0.00113889,0.00113889
